customer_id,country,province,city,gender,marital_status,occupation_code,income,birth_date,onboard_date
fake_data_18,fake_data_18,fake_data_18,fake_data_18,fake_data_18,fake_data_18,fake_data_18,546,fake_data_18,fake_data_18
fake_data_19,fake_data_19,fake_data_19,fake_data_19,fake_data_19,fake_data_19,fake_data_19,842,fake_data_19,fake_data_19
fake_data_20,fake_data_20,fake_data_20,fake_data_20,fake_data_20,fake_data_20,fake_data_20,599,fake_data_20,fake_data_20
fake_data_21,fake_data_21,fake_data_21,fake_data_21,fake_data_21,fake_data_21,fake_data_21,756,fake_data_21,fake_data_21
fake_data_22,fake_data_22,fake_data_22,fake_data_22,fake_data_22,fake_data_22,fake_data_22,470,fake_data_22,fake_data_22
fake_data_23,fake_data_23,fake_data_23,fake_data_23,fake_data_23,fake_data_23,fake_data_23,665,fake_data_23,fake_data_23
fake_data_24,fake_data_24,fake_data_24,fake_data_24,fake_data_24,fake_data_24,fake_data_24,826,fake_data_24,fake_data_24
fake_data_25,fake_data_25,fake_data_25,fake_data_25,fake_data_25,fake_data_25,fake_data_25,285,fake_data_25,fake_data_25
fake_data_26,fake_data_26,fake_data_26,fake_data_26,fake_data_26,fake_data_26,fake_data_26,374,fake_data_26,fake_data_26
fake_data_27,fake_data_27,fake_data_27,fake_data_27,fake_data_27,fake_data_27,fake_data_27,117,fake_data_27,fake_data_27
fake_data_28,fake_data_28,fake_data_28,fake_data_28,fake_data_28,fake_data_28,fake_data_28,878,fake_data_28,fake_data_28
fake_data_29,fake_data_29,fake_data_29,fake_data_29,fake_data_29,fake_data_29,fake_data_29,695,fake_data_29,fake_data_29
fake_data_30,fake_data_30,fake_data_30,fake_data_30,fake_data_30,fake_data_30,fake_data_30,731,fake_data_30,fake_data_30
fake_data_31,fake_data_31,fake_data_31,fake_data_31,fake_data_31,fake_data_31,fake_data_31,857,fake_data_31,fake_data_31
fake_data_32,fake_data_32,fake_data_32,fake_data_32,fake_data_32,fake_data_32,fake_data_32,788,fake_data_32,fake_data_32
fake_data_33,fake_data_33,fake_data_33,fake_data_33,fake_data_33,fake_data_33,fake_data_33,916,fake_data_33,fake_data_33
fake_data_34,fake_data_34,fake_data_34,fake_data_34,fake_data_34,fake_data_34,fake_data_34,365,fake_data_34,fake_data_34
fake_data_35,fake_data_35,fake_data_35,fake_data_35,fake_data_35,fake_data_35,fake_data_35,686,fake_data_35,fake_data_35
fake_data_36,fake_data_36,fake_data_36,fake_data_36,fake_data_36,fake_data_36,fake_data_36,561,fake_data_36,fake_data_36
fake_data_37,fake_data_37,fake_data_37,fake_data_37,fake_data_37,fake_data_37,fake_data_37,103,fake_data_37,fake_data_37
fake_data_38,fake_data_38,fake_data_38,fake_data_38,fake_data_38,fake_data_38,fake_data_38,178,fake_data_38,fake_data_38
fake_data_39,fake_data_39,fake_data_39,fake_data_39,fake_data_39,fake_data_39,fake_data_39,34,fake_data_39,fake_data_39
fake_data_40,fake_data_40,fake_data_40,fake_data_40,fake_data_40,fake_data_40,fake_data_40,3,fake_data_40,fake_data_40
fake_data_41,fake_data_41,fake_data_41,fake_data_41,fake_data_41,fake_data_41,fake_data_41,943,fake_data_41,fake_data_41
fake_data_42,fake_data_42,fake_data_42,fake_data_42,fake_data_42,fake_data_42,fake_data_42,775,fake_data_42,fake_data_42
fake_data_43,fake_data_43,fake_data_43,fake_data_43,fake_data_43,fake_data_43,fake_data_43,134,fake_data_43,fake_data_43
fake_data_44,fake_data_44,fake_data_44,fake_data_44,fake_data_44,fake_data_44,fake_data_44,157,fake_data_44,fake_data_44
fake_data_45,fake_data_45,fake_data_45,fake_data_45,fake_data_45,fake_data_45,fake_data_45,864,fake_data_45,fake_data_45
fake_data_46,fake_data_46,fake_data_46,fake_data_46,fake_data_46,fake_data_46,fake_data_46,283,fake_data_46,fake_data_46
fake_data_47,fake_data_47,fake_data_47,fake_data_47,fake_data_47,fake_data_47,fake_data_47,198,fake_data_47,fake_data_47
fake_data_48,fake_data_48,fake_data_48,fake_data_48,fake_data_48,fake_data_48,fake_data_48,245,fake_data_48,fake_data_48
fake_data_49,fake_data_49,fake_data_49,fake_data_49,fake_data_49,fake_data_49,fake_data_49,398,fake_data_49,fake_data_49
